Stage,SignalDefinition,IdentificationStatus,PointsUsed,MinFrequencyHz,MaxFrequencyHz,MedianCoherence,TfestFitMagnitudeRmseDb,TfestFitPhaseRmseDeg,TfestVsPsocHighMagnitudeRmseDb,TfestVsPsocHighPhaseRmseDeg,ProcessedVsPsocHighMagnitudeRmseDb,ProcessedVsPsocHighPhaseRmseDeg,IdentifiedF1Hz,IdentifiedF2Hz,IdentifiedQ,FilterChangeMagnitudeRmseDb,FilterChangePhaseRmseDeg,MagnitudeInsideMonteCarloPercent,PhaseInsideMonteCarloPercent,MagnitudeInsideFullPotRangePercent,PhaseInsideFullPotRangePercent,PsocHighReference
BP,CH2(BP) / CH1(PGA),parcial: polo inferior fuera de banda; alta frecuencia no ideal,55,11.6276116325934,47451.7591389498,0.998622253374504,0.874059047229689,12.0997167767014,9.64039172948788,77.0389317315774,9.14873431283247,71.4439698382699,4613.02919443441,4613.02919443441,3.43379979588603,0.134835565621231,1.00667144874603,36.3636363636364,1.81818181818182,36.3636363636364,1.81818181818182,"PSoC 5LP High, componentes actuales"
COMP,CH3(compensador) / CH1(PGA),objetivo zeta0=0.25; pot objetivo 634.539 ohm; pot estimado en estas capturas 1070.164 ohm (error complejo 30.025),41,11.5775456563232,4735.79290515376,0.969365093395564,0.617402512476667,4.11087091268162,10.9238738844756,43.6241385150886,11.0251016563929,43.8687909187813,145.114843669724,4676.73886813324,NaN,0.0573378176122832,0.378511696172023,29.2682926829268,14.6341463414634,85.3658536585366,87.8048780487805,"PSoC 5LP High, componentes actuales"
LP,CH4(ADC/LP) / CH3(compensador),confiable en la banda útil seleccionada,32,11.5637395804629,1183.68694439995,0.947522997052238,0.328942322607637,1.96281055200821,0.578180720854348,1.75487924736162,0.473925250212362,2.90167333474637,291.483972614205,291.483972614205,0.681197556661073,0.84241395206548,0.97152439276339,81.25,81.25,81.25,81.25,"PSoC 5LP High, componentes actuales"
LP_PGA,Cadena PGA->ADC medida directamente: CH4/CH1,confiable en banda útil; dinámica subsónica no observable,30,11.5765329665638,862.715628737899,0.993782860018267,0.415826941416256,1.87507063638228,10.8167905037665,43.1237428141487,10.8499073811429,42.8064119764576,NaN,NaN,NaN,0.0732625906084296,0.618947184502101,40,26.6666666666667,100,100,"PSoC 5LP High, componentes actuales"
GEO_LP,Cadena GEO->ADC calculada: Hgeo nominal * CH4/CH1,calculada con Hgeo nominal; no es una quinta medición,30,11.5765329665638,862.715628737899,0.993782860018267,0.415826941416257,1.87507063638228,10.8167905037665,43.1237428141489,10.849907381143,42.8064119764578,NaN,NaN,NaN,0.0730265292906453,0.61745140105773,40,26.6666666666667,100,100,"PSoC 5LP High, componentes actuales"
