Band,Capture,Channel,AppliedSignalScale,BandpassLowHz,BandpassHighHz,EstimatedLineF0Hz,RemovedHarmonicsHz,RemovedLineRmsV,LineFitFraction,RawRmsV,ProcessedRmsV,PeakAmplitudeV,ConservativeSlewDemandVPerS,SlewMarginToModel,SlewMarginToDataSheetMinimum
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,4,1,50,1500,50,50;100;150;200;250;300;350;400;450;500;550;600,0.0214480940265508,0.910166666666667,0.18007833499719,0.183396439033193,0.3905408,2453.84021641416,1752.35533725324,1222.57349110691
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,1,1,50,1500,50,50;100;150;200;250;300;350;400;450;500;550;600,0.125309684011569,0.910166666666667,1.03746403069022,1.0522402875742,1.513968,9512.54149314006,452.034821934909,315.373131582495
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,2,1,50,1500,50,50;100;150;200;250;300;350;400;450;500;550;600,0.136096269914656,0.910166666666667,1.14151797255409,1.15483177668038,1.705344,10714.9923644869,401.30686553279,279.981534092644
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,3,1,50,1500,50,50;100;150;200;250;300;350;400;450;500;550;600,0.00721330615241089,0.910166666666667,0.0596623643433614,0.0588579356826841,0.1801936,1132.1897799678,3797.94984558358,2649.73245040715
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,4,1,50,1500,50,50;100;150;200;250;300;350;400;450;500;550;600,0.0197205478855848,0.910166666666667,0.164087945980197,0.166912792326555,0.345072,2168.15132031907,1983.25640821379,1383.66726154451
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,1,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.123964703634654,0.83048,1.14572472885244,1.18532004025412,1.652736,25961.1163796169,165.632322475011,115.557434284891
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,2,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.136574121959952,0.83048,1.3334636699603,1.37381656399565,2.454336,38552.6197352048,111.535870442376,77.8157235644485
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,3,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.00790156253383041,0.83048,0.113691388411964,0.113304857474235,0.4247936,6672.64226525981,644.422378581174,449.597008312447
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,4,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0165894401737959,0.83048,0.153458971390271,0.163554375211272,0.3774272,5928.61259392483,725.296168686464,506.02058280451
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,1,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.113390569116603,0.83048,1.14369910045606,1.18121723826888,1.664704,26149.1092840077,164.441547637334,114.726661142326
