Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,1,1.68,0.88,-0.8,0.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,2,4.88,2.48,-2.4,2.48,2.3,103,0.0571904497501388,1,1,automático,|V| >= 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,3,1.544,0.76,-0.784,0.784,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,4,0.154,0.076,-0.078,0.078,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,1,1.06,0.56,-0.5,0.56,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,2,4,2.04,-1.96,2.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,3,1.024,0.52,-0.504,0.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,4,0.122,0.058,-0.064,0.064,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,1,3.2,1.6,-1.6,1.6,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,2,4.84,2.44,-2.4,2.44,2.3,24,0.0133259300388673,1,1,automático,|V| >= 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,3,1.7,0.84,-0.86,0.86,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,4,0.156,0.106,-0.05,0.106,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,1,1.7,0.88,-0.82,0.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,2,3.24,1.48,-1.76,1.76,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,3,1.096,0.504,-0.592,0.592,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,4,0.16,0.052,-0.108,0.108,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,1,3.28,1.64,-1.64,1.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,2,0.24,0.14,-0.1,0.14,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,3,0.268,0.116,-0.152,0.152,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,4,0.174,0.072,-0.102,0.102,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
