Band,Capture,StartFrequencyHz,StopFrequencyHz,SweepDurationS,SampleRateHz,RecordDurationS,ValidFraction,InvalidCodeFraction,SaturationFraction,ProbeAttenuation,AnySaturation,SaturatedChannels
100mHzto1Hz_200s_25s_div,ALL0000_F0000,0.1,1,200,10.0000000000006,249.9,1,0,0,1,0,
500mHzto5Hz_40s_5s_div,ALL0000_F0000,0.5,5,40,50.0000000000011,49.98,1,0,0,1,0,
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,2.5,25,8,250,9.996,1,0,0,1,0,
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,10,100,2,999.999999999999,2.499,1,0,0,1,0,
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,50,500,0.4,5000,0.4998,1,0,0,1,0,
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,250,2500,0.08,25000.000000001,0.09996,1,0,0,1,0,
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,1000,10000,0.02,100000.000000004,0.02499,1,0,0,1,0,
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,5000,50000,0.004,500000.000000001,0.004998,1,0,0,1,0,
20kHzto200kHz_1ms_100us_div,root_F0000,20000,200000,0.001,2499999.99999994,0.0009996,1,0,0,1,0,
