Band,Capture,Channel,AppliedSignalScale,BandpassLowHz,BandpassHighHz,EstimatedLineF0Hz,RemovedHarmonicsHz,RemovedLineRmsV,LineFitFraction,RawRmsV,ProcessedRmsV,PeakAmplitudeV,ConservativeSlewDemandVPerS,SlewMarginToModel,SlewMarginToDataSheetMinimum
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,4,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.238256463039513,0.936766666666667,1.47391118538398,1.47227053042601,2.32976,7319.15690062736,587.499360702519,409.883274908734
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,1,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.182413230881574,0.936766666666667,1.06294329770877,1.05537946173315,1.529184,4804.07322038705,895.073784835769,624.470082443559
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,2,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.197468957229845,0.936766666666667,1.1492816968942,1.14022941730759,1.700928,5343.62290908518,804.697500770344,561.416861002566
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,3,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.0449953002331226,0.936766666666667,0.273838233702747,0.27327858506904,0.4481984,1408.0568007907,3053.85407576265,2130.59586681115
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,4,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.209577547238728,0.936766666666667,1.33013751551334,1.3432614984427,2.109232,6626.3477559165,648.924589893525,452.738085972227
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,1,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.174450783206945,0.936766666666667,1.06080330267963,1.06607946861732,1.541968,4844.23534087055,887.652993181635,619.292785940676
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,2,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.188990530392713,0.936766666666667,1.15063724051675,1.15547160745403,1.679856,5277.42326868874,814.791571771807,568.459236119865
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,3,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.0432386903763716,0.936766666666667,0.273088568661231,0.27437300140593,0.4445216,1396.50579292198,3079.11361470466,2148.21880095674
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,4,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.215543129090364,0.936766666666667,1.3340748461402,1.33212520286958,2.093664,6577.43944148542,653.749842663531,456.104541393161
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,1,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0542770590999671,0.83048,0.490701497857913,0.50014472399001,0.7242,11375.7069986486,377.998484007263,263.719872563207
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,2,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.00150237412776913,0.83048,0.0185193762313962,0.011738465405826,0.0275519999999997,432.785803958525,9935.63088407604,6931.83550051817
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,3,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.00799980458939613,0.83048,0.0760092811175056,0.077146569334814,0.198928,3124.75371696655,1376.10845189244,960.075664111007
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,4,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0218718380495323,0.83048,0.212988948631989,0.217793673665518,0.6171008,9693.39669902192,443.600951608003,309.489036005584
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,1,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.101072652258576,0.83048,0.950324563201436,0.986363370827913,1.366976,21472.4087961678,200.256992162306,139.714180578353
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,2,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.110902336803665,0.83048,1.0932415876173,1.1293772090548,2.022848,31774.822080644,135.327272300272,94.4143760234454
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,3,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0150972291705449,0.83048,0.142081689179148,0.148967085510855,0.30824,4841.82259771259,888.095322210161,619.601387588484
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,4,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0504581570206402,0.83048,0.431904097206778,0.424277161896541,1.164896,18298.1435789807,234.996516528566,163.951058043185
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,1,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0954818607390431,0.83048,0.951414451721225,0.965169693588202,1.375584,21607.6229439783,199.003842817349,138.839890337685
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,2,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.104569148982821,0.83048,1.09075890721277,1.10350101582942,2.061344,32379.515834607,132.800009177537,92.6511691936302
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,3,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.015823004392361,0.83048,0.14258651978697,0.142510642719728,0.3278752,5150.25159807142,834.910667589559,582.495814597367
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,4,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0340247420151558,0.83048,0.415539490031934,0.444450287326523,1.169168,18365.2479980613,234.137867370695,163.352000491182
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,1,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.10449262710539,0.83048,0.952292845177364,0.972709654753182,1.365968,21456.5751691937,200.404769451451,139.81728101264
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,2,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.113802675949334,0.83048,1.10210173915841,1.12239917354965,2.053888,32262.3972604812,133.282098204995,92.9875103755776
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,3,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0160199154935721,0.83048,0.142012171052484,0.148357973349467,0.3254464,5112.10009688623,841.14158926957,586.842969257839
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,4,1,125,3750,50,150;200;250;300;350;400;450;500;550;600,0.0401621757475464,0.83048,0.41637294390486,0.424911504171245,1.110672,17446.3949787394,246.469256556445,171.955295271939
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,1,1,500,15000,NaN,,0,1,0.60589426700044,0.611753570681032,0.905904,56919.6270251522,75.5451190518145,52.7058970128938
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,2,1,500,15000,NaN,,0,1,0.975616646024453,0.97980215342336,2.5992,163312.552504212,26.3298805515216,18.3696841057128
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,3,1,500,15000,NaN,,0,1,0.198596098410819,0.198246136762687,0.729736,45850.6651332,93.7827180370915,65.4298032816917
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,4,1,500,15000,NaN,,0,1,0.0323794113745139,0.0149995176408832,0.1952352,12266.9894008427,350.534255756724,244.558783086086
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,1,1,500,15000,NaN,,0,1,0.368003152247368,0.370313734339671,0.576456,36219.7986943552,118.719599639027,82.8276276551352
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,2,1,500,15000,NaN,,0,1,0.439526485864049,0.425905406752883,1.965168,123475.147037395,34.8248218623115,24.2963873457987
