Stage,SignalDefinition,IdentificationStatus,PointsUsed,MinFrequencyHz,MaxFrequencyHz,MedianCoherence,TfestFitMagnitudeRmseDb,TfestFitPhaseRmseDeg,TfestVsPsocHighMagnitudeRmseDb,TfestVsPsocHighPhaseRmseDeg,ProcessedVsPsocHighMagnitudeRmseDb,ProcessedVsPsocHighPhaseRmseDeg,IdentifiedF1Hz,IdentifiedF2Hz,IdentifiedQ,FilterChangeMagnitudeRmseDb,FilterChangePhaseRmseDeg,MagnitudeInsideMonteCarloPercent,PhaseInsideMonteCarloPercent,MagnitudeInsideFullPotRangePercent,PhaseInsideFullPotRangePercent,PsocHighReference
BP,CH2(BP) / CH1(PGA),parcial: polo inferior fuera de banda; alta frecuencia no ideal,60,2.87015180958314,19393.581648745,0.962833891623043,9.92510648432987,11.6876865926208,6.04354594627564,69.5630152258868,12.2202105495934,60.1101961241183,4615.29335993454,4615.29335993454,3.65277657218914,1.07064112287688,0.980768533190438,18.3333333333333,16.6666666666667,18.3333333333333,16.6666666666667,"PSoC 5LP High, componentes actuales"
COMP,CH3(compensador) / CH1(PGA),objetivo zeta0=0.25; pot objetivo 634.539 ohm; pot estimado en estas capturas 719.253 ohm (error complejo 5.256),53,2.88948139671135,4736.40778843973,0.998658138492038,0.373402433816075,1.86836018601676,26.6920931631568,63.4098109878422,26.706519618129,63.0135987304021,350.438307129653,4597.0726782361,NaN,0.837228324661931,6.97986445211772,13.2075471698113,9.43396226415094,90.5660377358491,94.3396226415094,"PSoC 5LP High, componentes actuales"
LP,CH4(ADC/LP) / CH3(compensador),confiable en la banda útil seleccionada,11,290.616227535866,1184.4294461195,0.949663197790499,0.313557644826545,3.4559396478785,0.645887780720688,1.96667676451502,0.630449287672526,4.06136688132665,284.616907363345,284.616907363345,0.668411046621423,2.27960259505759,13.752085950173,100,90.9090909090909,100,90.9090909090909,"PSoC 5LP High, componentes actuales"
LP_PGA,Cadena PGA->ADC medida directamente: CH4/CH1,confiable en banda útil; dinámica subsónica no observable,11,291.031928410064,1184.40157079595,0.953414734883564,1.34185665127975,9.48486612091413,6.17584019973705,63.3893885624305,5.98990708379494,61.7250227341402,NaN,NaN,NaN,4.62602554830627,10.6331592172605,54.5454545454545,0,100,100,"PSoC 5LP High, componentes actuales"
GEO_LP,Cadena GEO->ADC calculada: Hgeo nominal * CH4/CH1,calculada con Hgeo nominal; no es una quinta medición,11,291.031928410064,1184.40157079595,0.953414734883564,1.34185665127975,9.48486612091413,6.1758401997371,63.3893885624306,5.98990708379498,61.7250227341403,NaN,NaN,NaN,4.62474485720706,10.6013110344095,54.5454545454545,0,100,100,"PSoC 5LP High, componentes actuales"
