FrequencyHz,ModelMaximumSinePeakV,DataSheetMinimumMaximumSinePeakV
0.01,68436625.529515,47746482.9275686
0.0107287281896439,63788199.6074562,44503395.0749694
0.0115105608567261,59455509.0593391,41480587.715818
0.0123493678742169,55417108.168263,38663098.722044
0.0132493011236394,51653007.8763252,36036982.2392966
0.0142148150458271,48144576.8438648,33589239.6585103
0.015250688689274,44874449.2290681,31307755.276094
0.0163620493652098,41826438.7314647,29181236.3242777
0.0175543980264872,38985458.4738555,27199157.0747829
0.0188336364959004,36337446.3261049,25351706.739143
0.0202060966787073,33869295.3011711,23629740.9077938
0.0216785719039518,31568788.6788519,22024736.2875711
0.0232583505497151,29424539.5361252,20528748.5135757
0.0249532521187349,27425934.3847742,19134372.8265866
0.0267716659429563,25563080.6373186,17834707.4213851
0.0287225927085926,23826757.6412214,16623319.2845731
0.0308156890072339,22208371.0390021,15494212.3527922
0.0330613151335212,20699910.2283522,14441797.8337341
0.035470586365971,19293908.7116897,13460866.5430393
0.0380554279847793,17983407.1388941,12546563.1201587
0.0408286342989267,16761918.8602921,11694361.9955527
0.0438039319747558,15623397.819391,10900044.9902728
0.0469960479794808,14562208.626435,10159680.4370477
0.0504207824759315,13573098.6646594,9469603.71952984
0.0540950870293432,12651172.0911721,8826399.13337586
0.0580371485132957,11791865.6037756,8226882.97937836
0.0622664791301147,10990925.8537819,7668087.80496413
0.0668040129913138,10244388.3930167,7147247.71605815
0.0716722097361248,9548558.05080906,6661784.68661097
0.0768951657010035,8899990.643836,6209295.79802511
0.0824987331903698,8295475.92829022,5787541.34531876
0.0885106484389435,7732021.70998939,5394433.75115539
0.0949606688990558,7206839.03377554,5028027.23286666
0.101880720532474,6717328.37889587,4686508.1713227
0.109305055835799,6261066.79203587,4368186.13397851
0.117270423381615,5835795.89431621,4071485.50766247
0.125816249714581,5439410.70289141,3794937.69969168
0.134984834502811,5069949.2118198,3537173.86871149
0.144821559910473,4725582.68063277,3296918.14927868
0.15537511522797,4404606.58253436,3072981.33665188
0.166697737871549,4105432.16742687,2864255.00053037
0.178845471945237,3826578.59800166,2669705.99860581
0.191878445644904,3566665.61997099,2488371.36277046
0.205861168877554,3324406.73016002,2319353.53266978
0.220862852568966,3098602.80864321,2161815.91300689
0.236957751240184,2888136.18340539,2014978.73260841
0.25422553054852,2691965.09814948,1878115.18475545
0.27275166161231,2509118.55586754,1750547.82967503
0.292627844071221,2338691.51265245,1631645.24138543
0.313952459976164,2179840.3979606,1520818.88229809
0.336831060755433,2031778.9391521,1417520.19010611
0.361376889667449,1893774.26964111,1321237.86254031
0.387711442326101,1765143.30139252,1231495.32655292
0.415965068073155,1645249.34380978,1147848.37940217
0.446277615174362,1533498.95227832,1069882.98996162
0.478799123032825,1429338.99076551,997213.249371288
0.513690564845906,1332253.89393796,929479.46088695
0.551124644381639,1241763.11524412,866346.359472639
0.591286650818479,1157418.748331,807501.45232395
0.634375375879637,1078803.3100216,752653.472108094
0.680604097801583,1005527.67387931,701530.935264633
0.730201637007102,937229.144130902,653880.798230862
0.783413488708225,873569.660414713,609467.204940498
0.840503038045124,814234.124467743,568070.3193961
0.901752863775609,758928.840469362,529485.237536764
0.967466136968153,707380.061321648,493520.973015103
1.03796812162162,659332.633670836,459999.511863374
1.11360778463936,614548.734963074,428754.931369586
1.19475952312672,572806.696283233,399632.578802256
1.28182501756152,533899.905150122,372488.30591869
1.37523522001032,497635.78283722,347187.755467828
1.47545248723159,463834.83115694,323605.696156005
1.58297286922418,432329.743990218,301625.402783873
1.6983285645487,402964.579163755,281138.078486341
1.82209055457512,375593.986575895,262042.31621574
1.9548714296954,350082.48875057,244243.596802723
2.09732842149026,326303.81025823,227653.821110393
2.2501666558584,304140.252684563,212190.873965974
2.41414264321048,283482.112053261,197778.217711577
2.59006802300338,264227.135819226,184344.513362251
2.77881358114917,246280.016744459,171823.267496134
2.98131356018406,229551.92115146,160152.503128926
3.19857028353144,213960.049219104,149274.452943561
3.43165911674812,199427.225144572,139135.273356678
3.68173379031042,185881.515142747,129684.778006568
3.9500321102868,173255.871392261,120876.189343438
4.23788208516328,161487.800165818,112665.907092431
4.54670849914783,150519.052502138,105013.292443352
4.8780399644901,140295.335888394,97880.4668988797
5.23351648772347,130766.045526082,91232.1247856389
5.61489758728051,121884.013850128,85035.3585000895
6.02407100266202,113605.277061431,79259.495624254
6.46306203826766,105888.857517231,73875.947105045
6.93404358813799,98696.560902197,68858.0657457188
7.4393468912276,91992.7871762705,64181.014309026
7.98147307044535,85744.354363519,59821.6425791993
8.56310551257709,79920.334309788,55758.3727742707
9.18712315036813,74491.8995962003,51971.0927415351
9.8566147125085,69432.1808507598,48441.0564075068
10.5748940120549,64716.1337517901,45150.790989621
11.345516348963,60320.4150649079,42084.0105104009
12.1722961079186,56223.2670999467,39225.5351860093
13.059325638572,52404.4100159206,36561.2162901772
14.0109955116287,48844.9414409667,34077.8661216046
15.0320162510586,45527.2429104084,31763.1927281919
16.1274416499918,42434.8926598348,29605.739065001
17.3026937857104,39552.5843415399,27594.8262847953
18.5635898575529,36866.0512619926,25720.50088046
19.9163709805716,34361.9957653304,23973.4854176724
21.3677330774665,32028.0234133425,22345.1326139599
22.9248600217002,29852.5816361515,20827.3825368499
24.5954591958456,27824.9025499286,19412.7227092525
26.3877996411706,25934.9496586063,18094.1509246091
28.3107529872903,24173.3681757735,16865.140587749
30.3738373644788,22531.4387208609,15719.608409903
32.5872645159945,21001.0341604233,14651.8842979698
34.9619903436134,19574.5793808952,13656.6832889966
37.5097691365584,18245.0137937037,12729.0793909561
40.243211752243,17005.7563871503,11864.4812003374
43.17584803681,15850.6731520754,11058.6091758665
46.3221937944307,14774.046720072,10307.4744558642
49.6978226368457,13770.5480639662,9607.359114395
53.3194430687851,12835.210120486,8954.79775847863
57.2049811908191,11963.4032045619,8346.56037527576
61.3736694289992,11150.8120935618,7779.63634434546
65.8461417304792,10393.4146680361,7251.21953583917
70.6445356963083,9687.46200324894,6758.69442087135
75.7926021569291,9029.45981295332,6299.62312531627
81.3158227327513,8416.15115356276,5871.73336295077
87.2415359616958,7844.50030310823,5472.90718821504
93.5990726180081,7311.67773518603,5101.17051292049
100.419900892135,6815.04611352138,4754.68333501492
107.73778215027,6352.14723782424,4431.73063104017
115.588938044532,5920.68987632265,4130.71386720185
124.012229800938,5518.53842474794,3850.14308703345
133.049350572593,5143.70233563639,3588.6295364905
142.7450318102,4794.32626562524,3344.8787899711
153.147264671371,4468.68089197472,3117.68434323817
164.30753756466,4165.15435286,2905.92164153023
176.281091004095,3882.24426906487,2708.54251330108
189.127191035682,3618.55030758656,2524.56998203714
202.90942258927,3372.76725034326,2353.09343047204
217.696004207787,3143.67853367641,2193.26409326261
233.560125711693,2930.15022666982,2044.29085581616
250.580310469983,2731.12541847988,1905.43633847434
268.840804070903,2545.61898689552,1776.01324667129
288.431991316204,2372.71272223367,1655.38096900024
309.45084360293,2211.55078243474,1542.94240634982
332.001398907185,2061.33545686195,1438.14101641532
356.195276745674,1921.32321783647,1340.45805895568
382.152230663934,1790.82104036437,1249.41002816119
410.000740985946,1669.18297183909,1164.54625942262
439.878650759082,1555.80693474022,1085.44669865597
471.933848042151,1450.1317465028,1011.71982314149
506.324997913696,1351.63434180629,943.000703585785
543.222327823809,1259.82718353418,878.949197814543
582.808470176731,1174.25584958919,819.248267155245
625.279366314834,1094.49678361938,763.602407176312
670.845236378466,1020.15519852191,711.736185015284
719.731619842199,950.863122347184,663.392876056175
772.18049187791,886.277576931269,618.333193207862
828.451461070366,826.078880241146,576.334102493823
888.823054413734,769.969064029912,537.187719090636
953.594095949408,717.670398969687,500.700278350945
1023.08518586904,668.924019962059,466.691176717715
1097.64028740403,623.488644821617,434.992077782524
1177.62842935605,581.13937999049,405.446079063132
1263.44553269584,541.666607372385,377.906935376083
1355.51637027135,504.874946776298,352.238334960208
1454.29666932541,470.58228883423,328.313224768068
1560.27536722968,438.61889360611,306.013181585658
1673.97703160042,408.826550410227,285.2278258676
1795.96445677479,381.057794720582,265.854275386453
1926.84144949982,355.175178254963,247.796635991835
2067.25581762231,331.05058864088,230.965526958753
2217.90257657299,308.564615291896,215.277638575741
2379.52738951626,287.605958355569,200.655319782955
2552.9302581933,268.070877807479,187.026193819171
2738.96948272734,249.862679964469,174.322799975211
2938.56590999113,232.891238875501,162.482259680582
3152.70749156485,217.0725502211,151.445965270535
3382.45417384535,202.328315513327,141.159289893019
3628.94314451134,188.585554538167,131.571317119651
3893.39446131339,175.776244122022,122.634588922341
4177.11709104966,163.836981434288,114.304870768108
4481.51538861881,152.708670159464,106.540932669393
4808.09604821976,142.336227985409,99.304345106099
5158.4755611051,132.668313959897,92.5592888092308
5534.38821680177,123.65707436596,86.2723774646234
5937.69468740343,115.257905858145,80.4124924591707
6370.39123742443,107.429234687294,74.9506288516005
6834.61960480161,100.132310921057,69.8597518053889
7332.67760195282,93.3310166415732,65.1146627731906
7867.03048936422,86.9916871709567,60.6918747704349
8440.32317800301,81.0829444397023,56.5694961207226
9055.39332095461,75.5755416732141,52.7271220975913
9715.2853590839,70.4422186277071,49.1457339263073
10423.2655902439,65.6575666589283,45.807604645764
11182.8383366195,61.1979029558277,42.696211364531
11997.763290232,57.0411533166624,39.7961534767412
12872.0741224588,53.166742887309,37.0930764330063
13810.098449681,49.5554943209661,34.5736006890461
14816.4792538851,46.189532855162,32.2252554803456
15896.1978642431,43.0521978362236,30.0364170950397
17054.5986134263,40.1279602532762,27.996251339495
18297.4152906929,37.4023458735867,26.0946599118047
19630.7995226879,34.8618635987906,24.3222304177609
21061.351222431,32.4939386873847,22.6701897818963
22596.1512572088,30.2868505129526,21.1303608229902
24242.7964970675,28.2296745500435,19.6951217791001
26009.4374173889,26.3122283005479,18.3573685817776
27904.818441672,24.5250208929201,17.110479692735
29938.3212242062,22.859206104777,15.9482833289142
32120.0110868757,21.3065385763451,14.8650269137291
34460.686839944,19.8593329980263,13.8553486032742
