Stage,SignalDefinition,IdentificationStatus,PointsUsed,MinFrequencyHz,MaxFrequencyHz,MedianCoherence,TfestFitMagnitudeRmseDb,TfestFitPhaseRmseDeg,TfestVsPsocHighMagnitudeRmseDb,TfestVsPsocHighPhaseRmseDeg,ProcessedVsPsocHighMagnitudeRmseDb,ProcessedVsPsocHighPhaseRmseDeg,IdentifiedF1Hz,IdentifiedF2Hz,IdentifiedQ,FilterChangeMagnitudeRmseDb,FilterChangePhaseRmseDeg,MagnitudeInsideMonteCarloPercent,PhaseInsideMonteCarloPercent,MagnitudeInsideFullPotRangePercent,PhaseInsideFullPotRangePercent,PsocHighReference
BP,CH2(BP) / CH1(PGA),parcial: polo inferior fuera de banda; alta frecuencia no ideal,85,0.211247678233315,47476.9381785185,0.968352502604661,6.48509652640223,27.7699597094457,7.57423404255724,65.302924523275,6.35716353523269,54.0752531136962,8.5354864642511,4576.08765176389,NaN,0.872439900795417,2.11947346928219,31.7647058823529,5.88235294117647,31.7647058823529,5.88235294117647,"PSoC 5LP High, componentes actuales"
COMP,CH3(compensador) / CH1(PGA),objetivo zeta0=0.25; pot objetivo 634.539 ohm; estimación del pot no confiable (error complejo 20.749),71,0.211263077132456,4735.79290515376,0.964275509051117,0.379355245984121,2.44381214812133,11.640573230131,44.1788352761611,11.5053441312585,43.9013266854751,0.0057450817881544,4646.56789135988,NaN,0.044860772128269,0.325574418253531,36.6197183098592,11.2676056338028,91.5492957746479,94.3661971830986,"PSoC 5LP High, componentes actuales"
LP,CH4(ADC/LP) / CH3(compensador),confiable en la banda útil seleccionada,33,11.7491936828203,1113.98403164004,0.945433180487498,0.595979871789755,2.48104952026095,0.364575979549081,3.22060418041944,0.349458028518308,3.87240227819981,230.986463506493,320.294815898766,NaN,0.844757774197101,2.67832026501702,81.8181818181818,93.9393939393939,81.8181818181818,93.9393939393939,"PSoC 5LP High, componentes actuales"
LP_PGA,Cadena PGA->ADC medida directamente: CH4/CH1,confiable en banda útil; dinámica subsónica no observable,61,0.211260978798521,1112.38312575188,0.994573041213417,0.199767039568885,1.16119694706092,11.4832476888921,44.4601709512469,11.5067035684391,44.0699028948839,NaN,NaN,NaN,0.0523889865166168,0.478233599801567,40.9836065573771,14.7540983606557,100,100,"PSoC 5LP High, componentes actuales"
GEO_LP,Cadena GEO->ADC calculada: Hgeo nominal * CH4/CH1,calculada con Hgeo nominal; no es una quinta medición,61,0.211260978798521,1112.38312575188,0.994573041213417,0.19976703956888,1.16119694706088,11.4832476888921,44.4601709512475,11.5067035684391,44.0699028948846,NaN,NaN,NaN,0.0527458105434881,0.478063234380892,40.9836065573771,14.7540983606557,100,100,"PSoC 5LP High, componentes actuales"
