Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,1,2.92,1.52,-1.4,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,2,2.92,1.52,-1.4,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,3,0.218,0.074,-0.144,0.144,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,4,0.74,0.76,0.02,0.76,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,1,2.92,1.52,-1.4,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,2,1.84,1.48,-0.36,1.48,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,3,0.26,0.07,-0.19,0.19,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,4,0.76,0.82,0.06,0.82,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,1,2.92,1.52,-1.4,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,2,2.92,1.52,-1.4,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,3,0.262,0.072,-0.19,0.19,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,4,1.2,1.06,-0.14,1.06,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,1,1.2,0.68,-0.52,0.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,2,1.52,0.86,-0.66,0.86,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,3,0.76,0.38,-0.38,0.38,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,4,1.84,1.24,-0.6,1.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,1,3.24,1.68,-1.56,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,2,3.56,1.88,-1.68,1.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,3,0.232,0.066,-0.166,0.166,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,4,0.572,0.656,0.084,0.656,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,1,3.2,1.68,-1.52,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,2,3.28,1.68,-1.6,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,3,0.26,0.064,-0.196,0.196,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
